PCBS	Provident Community Bancshares
PCCC	Pc Connection
PCH	Potlatch Corp.
PCLN	Priceline.Com Inc.
PCO	Phoenix Canada Oil Co. Ltd
PCOM	Points International
PCRX	Pacira Pharmaceuticals
PCTI	Pc-Tel
PCYC	Pharmacyclics
PCYO	Pure Cycle Corp.
PDCO	Patterson Companies Inc.
PDEX	Pro-Dex
PDFS	Pdf Solutions
PDII	Pdi
PDLI	Pdl Biopharma
PEBK	Peoples Bancorp Of North Carolina
PEBO	Peoples Bancorp Inc.
PEDH	Peoples Educational Holdings
PEET	Peet's Coffee & Tea
PEGA	Pegasystems Inc.
PEIX	Pacific Ethanol
PENN	Penn National Gaming
PENX	Penford Corp.
PEOP	Peoples Federal Bancshares
PERF	Perfumania Holdings Inc
PERY	Perry Ellis International Inc.
PESI	Perma-Fix Environmental Services
PETD	Petroleum Development Corp.
PETM	Petsmart Inc
PETS	Petmed Express
PFBC	Preferred Bank
PFBI	Premier Financial Bancorp
PFBX	Peoples Financial Corp.
PFCB	P.F.Chang's China Bistro
PFED	Park Bancorp
PFIN	P & F Industries
PFLT	Pennantpark Floating Rate Capit
PFSW	Pfsweb
PGC	Peapack-Gladstone Financial Corp.
PGNX	Progenics Pharmaceuticals Inc.
PGTI	Pgt
PHII	Phi
PHIIK	Phi
PHMD	Photomedex
PICO	Pico Holdings Inc.
PKBK	Parke Bancorp
PKOH	Park-Ohio Holdings
PKOL	Global Coal Portfolio
PLAB	Photronics
PLBC	Plumas Bancorp
PLCC	Paulson Capital
PLCE	The Children's Place Retail Stores
PLCM	Polycom
PLFE	Presidential Life Corp.
PLMT	Palmetto Bancshs Sc
PLNR	Planar Systems
PLPC	Preformed Line Products Company
PLTM	Ft ETF Ii First Trust Ise Global
PLUG	Plug Power
PLUS	Eplus Inc.
PLXS	Plexus
PLXT	Plx Technology
PMBC	Pacific Mercantile Bancorp
PMCS	Pmc - Sierra
PMD	Psychemedics Corp.
PMFG	Pmfg
PMIC	Penn Millers Holding Corp.
PMNA	Mena Frontier Countries Portfolio
PMTC	Parametric Technology Corp.
PMTI	Palomar Medical Technologies
PNBC	Princeton National Bancorp
PNBK	Patriot National Bancorp Inc.
PNCL	Pinnacle Airlines
PNFP	Pinnacle Financial Partners
PNNT	Pennantpark Investment Corp.
PNNW	Pennichuck Corp.
PNQI	Nasdaq Internet Portfolio
PNRA	Panera Bread Company
PNRG	Primeenergy Corp.
PNSN	Penson Worldwide
PNTR	Pointer Telocation Ltd
PODD	Insulet Corp.
POOL	Pool Corp.
POPE	Pope Resources
POWI	Power Integrations
POWL	Powell Industries
POWR	Powersecure International Inc
POZN	Pozen
